Date (yr)	Level  (mm)	 Error (mm)
1880.0417	-181.4	24.2
1880.125	-169.5	24.2
1880.2083	-162.7	24.2
1880.2917	-156.6	24.2
1880.375	-157.1	24.2
1880.4583	-158	24.2
1880.5417	-158	24.2
1880.625	-160.2	24.2
1880.7083	-157.3	24.2
1880.7917	-148.7	24.2
1880.875	-142.9	24.2
1880.9583	-133.1	24.2
1881.0417	-134.8	24.2
1881.125	-137.6	24.2
1881.2083	-143.6	24.2
1881.2917	-149.5	24.2
1881.375	-150.6	24.2
1881.4583	-152.6	24.2
1881.5417	-146.1	24.2
1881.625	-149.8	24.2
1881.7083	-154.4	24.2
1881.7917	-163.9	24.2
1881.875	-166.3	24.2
1881.9583	-168.3	24.2
1882.0417	-166.2	24.2
1882.125	-160.4	22.9
1882.2083	-157.2	22.9
1882.2917	-159	22.9
1882.375	-162.9	22.9
1882.4583	-163.6	22.9
1882.5417	-165.7	22.9
1882.625	-167.4	22.9
1882.7083	-173.3	22.9
1882.7917	-179.9	22.9
1882.875	-180.9	22.9
1882.9583	-182.9	22.9
1883.0417	-178.3	22.8
1883.125	-178.4	22.8
1883.2083	-170.8	22.8
1883.2917	-170.7	22.8
1883.375	-162.4	22.8
1883.4583	-162	22.8
1883.5417	-159.5	22.8
1883.625	-160.4	22.8
1883.7083	-157.7	22.8
1883.7917	-156.6	22.8
1883.875	-151.6	22.8
1883.9583	-147.5	22.8
1884.0417	-140.9	22.2
1884.125	-137.9	22.2
1884.2083	-135.4	22.2
1884.2917	-133.6	22.2
1884.375	-134.4	22.2
1884.4583	-138.4	22.2
1884.5417	-141.7	22.2
1884.625	-145.2	22.2
1884.7083	-148.8	22.2
1884.7917	-148.8	22.2
1884.875	-152.4	22.2
1884.9583	-148.3	22.2
1885.0417	-151.5	22.2
1885.125	-146.7	21.9
1885.2083	-143.7	21.9
1885.2917	-141.1	21.9
1885.375	-141.5	21.9
1885.4583	-141.1	21.9
1885.5417	-146.8	21.9
1885.625	-141.6	21.9
1885.7083	-144.9	21.9
1885.7917	-139.6	21.9
1885.875	-141.7	21.9
1885.9583	-143.5	21.9
1886.0417	-145.7	20.8
1886.125	-150.6	20.8
1886.2083	-145.2	20.8
1886.2917	-140.4	20.8
1886.375	-133.1	20.8
1886.4583	-133.8	20.8
1886.5417	-139.2	20.8
1886.625	-146.1	20.8
1886.7083	-153.5	20.8
1886.7917	-153.6	20.8
1886.875	-156.3	20.8
1886.9583	-154.2	20.8
1887.0417	-160.6	20.7
1887.125	-164.2	20.7
1887.2083	-161.3	20.8
1887.2917	-157.2	20.8
1887.375	-150.3	20.8
1887.4583	-145.5	20.8
1887.5417	-145.7	20.8
1887.625	-145.9	20.8
1887.7083	-149	20.8
1887.7917	-145.9	20.8
1887.875	-147.2	20.8
1887.9583	-146.4	20.8
1888.0417	-153.7	20.8
1888.125	-154	20.8
1888.2083	-153.4	20.8
1888.2917	-153.6	20.8
1888.375	-152.6	20.8
1888.4583	-150	20.8
1888.5417	-147.4	20.8
1888.625	-146.9	20.8
1888.7083	-149.9	20.8
1888.7917	-143.4	20.8
1888.875	-144.4	20.8
1888.9583	-144.4	20.8
1889.0417	-149.5	20.8
1889.125	-145.8	20.8
1889.2083	-142.7	20.7
1889.2917	-143.4	20.7
1889.375	-144.3	20.7
1889.4583	-144.2	20.7
1889.5417	-145.4	20.7
1889.625	-146	20.7
1889.7083	-149.7	20.7
1889.7917	-152.2	20.7
1889.875	-156	20.7
1889.9583	-155.6	20.7
1890.0417	-150.7	20.7
1890.125	-149.8	20.7
1890.2083	-138.4	20.7
1890.2917	-136.5	20.7
1890.375	-133.7	20.7
1890.4583	-138.6	20.7
1890.5417	-142.6	20.7
1890.625	-146.2	20.7
1890.7083	-147.8	20.7
1890.7917	-150.2	20.7
1890.875	-154.3	20.7
1890.9583	-162.3	20.7
1891.0417	-161.3	20.7
1891.125	-162.3	20.7
1891.2083	-146.5	20.7
1891.2917	-149.2	20.7
1891.375	-143.8	20.7
1891.4583	-146.8	20.7
1891.5417	-142.2	20.7
1891.625	-140.6	20.7
1891.7083	-141.6	20.7
1891.7917	-142.9	20.7
1891.875	-146.6	20.7
1891.9583	-147.2	20.7
1892.0417	-144.2	20.7
1892.125	-137.7	20.7
1892.2083	-138.2	20.7
1892.2917	-137	20.7
1892.375	-141.5	20.7
1892.4583	-140	20.7
1892.5417	-144.2	20.7
1892.625	-145	20.7
1892.7083	-150.1	20.7
1892.7917	-149.9	20.7
1892.875	-154.7	20.7
1892.9583	-150.8	20.7
1893.0417	-145.9	20.2
1893.125	-142.2	20.2
1893.2083	-135.1	20.2
1893.2917	-136.3	20.2
1893.375	-137.6	20.2
1893.4583	-138.9	20.2
1893.5417	-139.1	20.2
1893.625	-137.4	20.2
1893.7083	-137.4	20.2
1893.7917	-139	20.2
1893.875	-143.5	20.2
1893.9583	-144	21.6
1894.0417	-146.8	21.6
1894.125	-145.9	21.6
1894.2083	-148.3	21.6
1894.2917	-147.3	21.6
1894.375	-150.5	21.6
1894.4583	-151.1	21.6
1894.5417	-152.9	21.6
1894.625	-153.1	21.6
1894.7083	-156	21.6
1894.7917	-151.7	21.6
1894.875	-149.8	21.6
1894.9583	-139.2	21.6
1895.0417	-137.3	21.6
1895.125	-133.3	21.6
1895.2083	-138.4	21.6
1895.2917	-139.8	21.6
1895.375	-146.4	21.6
1895.4583	-140.7	21.6
1895.5417	-139.4	21.6
1895.625	-135.8	21.6
1895.7083	-137.8	21.6
1895.7917	-130.7	21.6
1895.875	-134.2	21.6
1895.9583	-137.2	21.6
1896.0417	-146.8	21.6
1896.125	-156.8	21.5
1896.2083	-153.8	21.5
1896.2917	-148.8	21.5
1896.375	-142.5	21.5
1896.4583	-133.7	21.1
1896.5417	-136.4	21.1
1896.625	-137.3	20.9
1896.7083	-142.6	20.9
1896.7917	-145.3	20.9
1896.875	-148.1	20.9
1896.9583	-150.5	20.9
1897.0417	-147.9	20.8
1897.125	-148.2	20.8
1897.2083	-142.3	20.8
1897.2917	-140.6	20.8
1897.375	-131	20.8
1897.4583	-129.2	20.3
1897.5417	-125.5	20.3
1897.625	-128.2	21
1897.7083	-134.9	21
1897.7917	-141.9	21
1897.875	-156.5	21
1897.9583	-153.9	21
1898.0417	-147.4	19.7
1898.125	-132.9	19.7
1898.2083	-125	19.7
1898.2917	-123.3	19.7
1898.375	-122	19.7
1898.4583	-128.1	19.7
1898.5417	-131.8	19.7
1898.625	-137.9	19.7
1898.7083	-135.8	19.7
1898.7917	-130.7	19.7
1898.875	-126.8	19.7
1898.9583	-125.7	19.7
1899.0417	-125.1	19.4
1899.125	-127.4	19.4
1899.2083	-126.4	19.4
1899.2917	-123.4	19.4
1899.375	-126.3	19.4
1899.4583	-127	19.4
1899.5417	-130.3	19.4
1899.625	-124.2	19.4
1899.7083	-118.5	19.4
1899.7917	-112.7	19.4
1899.875	-115.5	19.4
1899.9583	-120.9	19.4
1900.0417	-127.3	18.3
1900.125	-129.2	18.3
1900.2083	-127.9	18.3
1900.2917	-128.2	18.3
1900.375	-125.7	18.3
1900.4583	-126.6	18.3
1900.5417	-128.9	18.3
1900.625	-127.1	18.3
1900.7083	-133.5	18.3
1900.7917	-128.6	18.3
1900.875	-130.5	18.3
1900.9583	-128.5	18.3
1901.0417	-131.2	18.3
1901.125	-133.1	18.3
1901.2083	-133.4	17.4
1901.2917	-129.4	17.4
1901.375	-133.4	17.4
1901.4583	-132.1	17.4
1901.5417	-134.6	17.4
1901.625	-129.4	17.4
1901.7083	-125.4	17.4
1901.7917	-122.5	17.4
1901.875	-121	17.4
1901.9583	-121.7	17.5
1902.0417	-121	17.4
1902.125	-120.5	17.4
1902.2083	-121.7	17.4
1902.2917	-126.4	17.4
1902.375	-130.7	17.4
1902.4583	-131.3	17.4
1902.5417	-130.1	17.3
1902.625	-126.2	17.3
1902.7083	-122.8	17.3
1902.7917	-120.2	17.3
1902.875	-119.7	17.3
1902.9583	-121.2	17.3
1903.0417	-119.6	17
1903.125	-120.1	17
1903.2083	-113.4	17
1903.2917	-108.7	17
1903.375	-108.2	17
1903.4583	-109	17
1903.5417	-114.6	17
1903.625	-117.9	17
1903.7083	-122	17
1903.7917	-119	17
1903.875	-122.6	16.7
1903.9583	-119.9	17.1
1904.0417	-124.3	17.1
1904.125	-116.6	17.1
1904.2083	-121.3	17.1
1904.2917	-121.7	17.1
1904.375	-126.7	16.8
1904.4583	-125	16.8
1904.5417	-128.6	16.8
1904.625	-129.6	16.8
1904.7083	-131	16.8
1904.7917	-130	16.8
1904.875	-130.7	16.8
1904.9583	-133.2	16.8
1905.0417	-136.4	15.4
1905.125	-138.5	15.4
1905.2083	-138	15.4
1905.2917	-136.5	15.4
1905.375	-134.4	15.4
1905.4583	-132.8	15.4
1905.5417	-130.4	15.4
1905.625	-126.5	15.4
1905.7083	-123.8	15.4
1905.7917	-126	15.4
1905.875	-129.1	15.4
1905.9583	-133.2	15.4
1906.0417	-130.2	14.7
1906.125	-127.9	14.7
1906.2083	-126.5	14.7
1906.2917	-127.3	14.7
1906.375	-123.9	14.7
1906.4583	-122.5	14.7
1906.5417	-120.7	14.7
1906.625	-123.8	14.7
1906.7083	-123.3	14.7
1906.7917	-124.1	14.7
1906.875	-126	14.7
1906.9583	-127.2	14.9
1907.0417	-127.9	14.9
1907.125	-124.8	14.9
1907.2083	-123.6	14.9
1907.2917	-121.2	14.9
1907.375	-123.5	14.9
1907.4583	-121.6	14.9
1907.5417	-124.8	14.9
1907.625	-122.2	14.9
1907.7083	-130.1	14.9
1907.7917	-131.5	14.9
1907.875	-136	14.9
1907.9583	-132.9	14.9
1908.0417	-129.5	14.5
1908.125	-127.5	14.5
1908.2083	-127.6	14.5
1908.2917	-129.8	14.5
1908.375	-130.9	14.5
1908.4583	-126.3	14.5
1908.5417	-125.7	14.5
1908.625	-123.3	14.5
1908.7083	-128.5	14.5
1908.7917	-132.7	14.3
1908.875	-134.7	14.3
1908.9583	-133.8	14.3
1909.0417	-126.1	14.3
1909.125	-123.5	14.3
1909.2083	-119	14.3
1909.2917	-121.8	14.3
1909.375	-124.6	14.3
1909.4583	-129.2	14.3
1909.5417	-127.4	14.3
1909.625	-128.2	14.3
1909.7083	-124.7	15.1
1909.7917	-124.8	15.1
1909.875	-122.9	15.1
1909.9583	-124.3	15.1
1910.0417	-125.7	15.1
1910.125	-129	15.1
1910.2083	-128.3	14.9
1910.2917	-127.9	14.9
1910.375	-123.1	14.9
1910.4583	-122.4	14.9
1910.5417	-120.2	14.9
1910.625	-122.8	14.1
1910.7083	-122.8	14.1
1910.7917	-124.8	14.1
1910.875	-125	14.1
1910.9583	-125.8	14.3
1911.0417	-125.8	14.3
1911.125	-122.3	14.3
1911.2083	-119.5	14.3
1911.2917	-119	14.3
1911.375	-120.2	14.3
1911.4583	-119.6	14.3
1911.5417	-118.5	14.1
1911.625	-112.5	14.1
1911.7083	-109.6	14
1911.7917	-106.5	14
1911.875	-111.1	14
1911.9583	-112.9	14.1
1912.0417	-120.3	14.1
1912.125	-122.1	14.1
1912.2083	-125.6	14.1
1912.2917	-125.5	14.1
1912.375	-124.4	14.1
1912.4583	-119.1	14.1
1912.5417	-118.3	14.1
1912.625	-117	14.2
1912.7083	-117.5	14.2
1912.7917	-117.1	14.4
1912.875	-115.1	14.4
1912.9583	-112.8	14.3
1913.0417	-118.2	14.3
1913.125	-121.6	14
1913.2083	-126.6	14
1913.2917	-126.1	14
1913.375	-124.4	14
1913.4583	-119.1	14
1913.5417	-115.6	14
1913.625	-112.7	14
1913.7083	-112.4	14
1913.7917	-113.2	14
1913.875	-109.2	14
1913.9583	-114.4	14.2
1914.0417	-109.3	14.2
1914.125	-115.4	14.2
1914.2083	-113.7	14.2
1914.2917	-116.5	13.7
1914.375	-115.2	13.7
1914.4583	-118.3	13.7
1914.5417	-118.1	13.7
1914.625	-120.9	13.7
1914.7083	-115.4	13.7
1914.7917	-110.2	13.7
1914.875	-97.4	13.7
1914.9583	-87	13.7
1915.0417	-82.1	13.6
1915.125	-83.6	13.6
1915.2083	-91.5	13.6
1915.2917	-100.7	13.6
1915.375	-106.9	13.6
1915.4583	-109.5	13.6
1915.5417	-112	13.6
1915.625	-112.8	13.6
1915.7083	-113.8	13.6
1915.7917	-113.6	13.6
1915.875	-108.1	13.6
1915.9583	-108.4	13.8
1916.0417	-102.1	13
1916.125	-104.7	13
1916.2083	-99.5	13
1916.2917	-102.5	13
1916.375	-101.2	12.9
1916.4583	-106.4	12.9
