%     Date	  Time	Julian Date	  Value	  StD
11/17/2010	 00:49	10321	-487.63	2.5
11/27/2010	 00:45	10331	-485.57	3.43
12/10/2010	 22:15	10344	-495.94	2.08
12/22/2010	 20:19	10356	-504.86	6.51
5/10/2011	 10:25	11130	-540.72	2.08
5/26/2011	 00:10	11146	-528.32	3.22
6/6/2011	 19:15	11157	-518.04	4.14
6/20/2011	 20:35	11171	-475.51	1.6
7/7/2011	 18:00	11188	-463.02	3.83
7/26/2011	 23:42	11207	-421.02	1.09
8/20/2011	 01:00	11232	-417.03	3.73
9/13/2011	 18:15	11256	-455.72	6.76
9/26/2011	 23:43	11269	-440.26	2.5
10/26/2011	 20:50	11299	-473.01	2.61
11/10/2011	 20:55	11314	-497.39	3.73
11/25/2011	 23:54	11329	-503.28	2.09
12/13/2011	 22:33	11347	-512.05	1.54
1/31/2012	 19:30	12031	-552.9	7.19
2/13/2012	 20:40	12044	-552.53	0
3/1/2012	 20:50	12061	-554.57	0.1
3/12/2012	 19:10	12072	-562.73	4.6
3/26/2012	 19:10	12086	-556.91	3.13
4/9/2012	 19:26	12100	-566.71	0.74
4/24/2012	 18:03	12115	-564.19	3.08
5/21/2012	 18:44	12142	-552.54	1.18
6/4/2012	 20:21	12156	-544.14	2.09
6/18/2012	 19:45	12170	-529.79	4.14
7/3/2012	 00:50	12185	-498.19	0.49
7/25/2012	 19:50	12207	-424.17	2.02
8/13/2012	 19:13	12226	-433.98	2.02
8/30/2012	 22:35	12243	-428.04	0
9/20/2012	 19:25	12264	-478.39	4.64
10/4/2012	 18:21	12278	-497.36	1.47
11/26/2012	 20:38	12331	-526.21	1.8
12/10/2012	 23:45	12345	-544.49	4.17
12/26/2012	 20:39	12361	-547.25	4.7
1/7/2013	 20:04	13007	-547.28	4.38
2/21/2013	 01:35	13052	-574.85	3.35
3/5/2013	 00:39	13064	-586.67	1.77
3/21/2013	 00:29	13080	-591.84	4.09
4/1/2013	 18:09	13091	-591.21	4.32
4/17/2013	 00:27	13107	-585.13	1.87
4/30/2013	 19:40	13120	-590.68	3.49
5/16/2013	 19:47	13136	-586.76	2.57
5/29/2013	 00:19	13149	-551.16	1.97
6/20/2013	 00:57	13171	-558.61	0.74
6/25/2013	 00:15	13176	-547.5	1.1
7/8/2013	 18:27	13189	-477.11	3.23
8/1/2013	 00:33	13213	-480.84	2.83
8/6/2013	 18:57	13218	-477.93	1.65
8/19/2013	 20:37	13231	-471.55	1.78
9/16/2013	 22:42	13259	-470.39	2.28
9/27/2013	 18:17	13270	-497.62	4.9
10/7/2013	 18:44	13280	-520.38	1.05
10/25/2013	 00:59	13298	-541.91	4.24
11/7/2013	 18:47	13311	-539.95	2.21
11/22/2013	 19:47	13326	-549.03	1.45
12/2/2013	 19:54	13336	-562.34	2.45
12/20/2013	 20:32	13354	-577.59	2.71
12/30/2013	 22:25	13364	-599.63	3.32
1/17/2014	 19:46	14017	-576.92	1.96
1/27/2014	 01:04	14027	-593.57	3.64
2/12/2014	 23:42	14043	-608.63	1.28
2/26/2014	 19:21	14057	-609.61	2.53
3/12/2014	 00:18	14071	-618.28	1.17
3/26/2014	 01:40	14085	-610.74	1.51
4/18/2014	 21:07	14108	-616.68	1.74
4/28/2014	 18:02	14118	-616	1.93
5/16/2014	 23:18	14136	-599.46	0.63
5/27/2014	 18:04	14147	-605.29	2.49
6/9/2014	 19:07	14160	-595.31	0.68
6/25/2014	 22:23	14176	-573.92	1.61
7/11/2014	 23:03	14192	-539.68	1.26
7/23/2014	 18:17	14204	-516.14	4.46
8/4/2014	 18:11	14216	-505.23	0.88
8/25/2014	 18:39	14237	-480.27	1.34
9/9/2014	 18:10	14252	-488.94	0.34
10/8/2014	 17:45	14281	-516.76	6.53
10/13/2014	 19:24	14286	-518.66	2.56
10/31/2014	 18:19	14304	-536.04	1.75
11/14/2014	 19:06	14318	-579.17	0.33
11/24/2014	 20:09	14328	-577.36	1.33
12/24/2014	 21:46	14358	-588.52	2.99
1/6/2015	 23:10	15006	-601.34	0.52
1/22/2015	 01:30	15022	-610.13	0.85
2/11/2015	 19:04	15042	-634.13	2.85
2/23/2015	 19:04	15054	-638.04	2.57
3/2/2015	 19:19	15061	-635.68	4.26
3/30/2015	 18:28	15089	-639.05	1.43
4/14/2015	 18:03	15104	-635.79	3.84
5/6/2015	 18:00	15126	-636.01	1.7
5/13/2015	 21:08	15133	-627.41	0.42
5/27/2015	 01:10	15147	-589.41	2.2
6/12/2015	 20:00	15163	-597.56	2.31
6/29/2015	 20:10	15180	-557.17	1.21
7/21/2015	 22:11	15202	-491.4	0.64
8/6/2015	 18:06	15218	-515.12	4.93
8/17/2015	 18:11	15229	-516.01	1.18
9/2/2015	 22:10	15245	-526.91	1.53
9/14/2015	 22:01	15257	-527	1.77
10/5/2015	 23:03	15278	-540.34	3.11
10/12/2015	 19:10	15285	-559.77	4.05
10/28/2015	 01:08	15301	-556.38	5.21
11/20/2015	 00:34	15324	-609.27	4.16
12/11/2015	 00:58	15345	-611.67	5.96
12/23/2015	 00:15	15357	-612.17	3.98
1/4/2016	 19:15	16004	-648.63	2.28
1/22/2016	 19:11	16022	-644.28	1.48
2/1/2016	 19:46	16032	-643.24	0.98
2/15/2016	 20:55	16046	-649.28	6.53
2/29/2016	 21:10	16060	-650.18	4.09
3/17/2016	 20:02	16077	-658.89	2.88
4/1/2016	 18:06	16092	-660.43	5.08
4/11/2016	 20:10	16102	-659.63	1.53
